date,alert_type,severity,confidence,action_required
2000-01-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-01-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-01-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-01-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-02-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-02-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-03-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-04-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-05-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-05-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-05-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-05-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-05-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-05-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-06-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-06-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-06-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-06-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-06-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-06-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-06-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-06-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-07-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-07-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-07-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-07-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-07-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-09-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-09-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-09-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-10-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-10-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2000-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2000-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-11-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2000-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2000-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2000-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-01-01,FLOOD,MEDIUM,0.625,"Prepare drainage, protect crops"
2001-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2001-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-03-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-03-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2001-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-03-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2001-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-04-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2001-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-04-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-05-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-05-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-05-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-05-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2001-05-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-05-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-06-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-06-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2001-06-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-06-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-06-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-06-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-06-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-07-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-07-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-08-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-08-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-09-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-09-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2001-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2001-12-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-01-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2002-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-03-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2002-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2002-06-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2003-03-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2003-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2003-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2003-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2003-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2003-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2003-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2003-11-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2003-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2003-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2003-12-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2003-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2004-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2004-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2004-08-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2004-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-11-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2004-12-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-01-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-03-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-05-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-05-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2005-08-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-09-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-09-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-09-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2005-10-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2005-10-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-10-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2005-11-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2005-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2005-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2005-12-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2005-12-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,DROUGHT,MEDIUM,0.625,"Monitor water resources, prepare irrigation"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,DROUGHT,HIGH,0.8125,"Monitor water resources, prepare irrigation"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-01-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-02-01,DROUGHT,MEDIUM,0.4375,"Monitor water resources, prepare irrigation"
2006-02-01,CROP_FAILURE,LOW,0.15,"Assess crop damage, initiate insurance claims"
2006-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
2006-04-01,FLOOD,MEDIUM,0.4375,"Prepare drainage, protect crops"
